TE TRADE PERFORMANCE -- Jul 15 2025 to Jul 15 2026
"Sends/unique opens/unique clicks: Klaviyo API (campaign-values-reports / flow-values-reports, opens_unique/clicks_unique statistics). Deduplicated by klaviyo_campaign_id / klaviyo_message_id (52 duplicate blast YAML files found and collapsed).","Sessions/orders/revenue: GA4 Explore (Session campaign x Sessions, Ecommerce purchases, Total revenue; Session medium = email), matched by Klaviyo campaign/message ID.","Excludes flow-welcome-series (general welcome-series step that only matched on a 'trade-program' substring, not a true trade-specific flow)."
NOTE: 52 trade blast campaigns had two identical YAML files in the knowledgebase (same name/date/ID) due to a filename-truncation bug in the importer -- deduplicated here to avoid double-counting. Knowledgebase cleanup is a separate follow-up.

SECTION 1: TRADE BLASTS (one-time sends)
Campaign Name,Klaviyo Campaign ID,Sends,Unique Opens,Unique Open Rate,Unique Clicks,Unique Click Rate,GA4 Sessions,Orders,Revenue,Revenue/Send
P_EM_05_01_2026_TE_Trade_D_PR_Best_Of_the_Month_Editorial,01KQG1R8V4FSYDRAXRT0MQ0QMC,6448,3369,0.5225,242,0.0375,326,1,1917.00,0.2973
03-24-26 | Spring Installs RESEND | Trade,01KM0Z9KFW03FMBK9H6BA27KBT,6593,3425,0.5195,233,0.0353,99,2,7607.20,1.1538
11-20-25 | Showrooms: Kim Lapin + Alison Giese (Trade) | Shopping,01KA9RF7ZDWPGH5F1CYV1ES8DE,6653,3547,0.5331,198,0.0298,0,0,0.00,0.0000
02-26-26 | Dashboard Updates (Trade) | Shopping,01KJ8EYGFFM0MC0NT624WMP0F2,6621,3664,0.5534,154,0.0233,0,0,0.00,0.0000
12-10-25 | Last Day for Holiday Shipping (Trade) | Shopping,01KBDEGSGZPTNVZM5HMV7J0X7W,6449,3382,0.5244,121,0.0188,0,0,0.00,0.0000
03-16-26 | New Arrivals (Trade Version) | Shopping,01KKMCH7HNTGZ9XYYHCGSAHHDP,6606,3378,0.5114,189,0.0286,0,0,0.00,0.0000
01-06-26 | Room Service: Ursino Interiors (Trade) | Shopping,01KD6JMF5T71RYFHYJ939NGSEX,6545,3357,0.5129,179,0.0273,0,0,0.00,0.0000
12-18-25 | Room Service: Jessica Helgerson (Trade) | Shopping,01KCM0KRZDA13472EFVMCEVC4P,6543,3533,0.5400,213,0.0326,0,0,0.00,0.0000
08-25-25 | Vintage Sale (Trade) | Shopping,01K342KABJ7HY5PABR0PRSN578,4062,2346,0.5775,167,0.0411,0,0,0.00,0.0000
08-14-25 | Favorites (Trade) | Events & Trade Perks,01K2J6C0C0TRMN5SWP6DW45GJZ,1006,607,0.6034,21,0.0209,51,1,1632.60,1.6229
11-22-25 | Rewind: Home Tour: Sean Anderson (Trade) | Editorial,01KA2AFYAGT5TN4DZJ8ASN03QV,6694,3753,0.5607,208,0.0311,311,2,12014.60,1.7948
11-26-25 | BFCM: Launch (Trade) | Shopping,01KAH1CZAWQ8PWBRW5BX93MQYH,6601,3569,0.5407,162,0.0245,0,0,0.00,0.0000
10-31-25 | Caitlin Flemming Book (Trade) | Editorial,01K8P923Q5Z1E54NBT9KB34QHD,6693,3737,0.5583,262,0.0391,424,2,1998.01,0.2985
07-24-25 | And Studio's Showroom (Trade Version) | Shopping,01K0SSMW33E9DTZXV6D85SN3KZ,4059,2353,0.5797,94,0.0232,0,0,0.00,0.0000
07-31-25 | Before & After: Anne McDonald (Trade Version) | Editorial,01K0W96K62CFN3MZTJP6BDP3V2,4045,2397,0.5926,130,0.0321,280,3,9272.68,2.2924
10-23-25 | FOLLOW-UP: High Point Party With PRB (Trade)-Full List | Events & Trade Perks,01K81Q5VP5ZKD9RDVNZDWYG1MG,3709,2357,0.6355,67,0.0181,0,0,0.00,0.0000
08-07-25 | Vintage Sale Launch (Trade) | Editorial,01K1VCQHDQRHH3V1NNN28PQ9H6,4152,2457,0.5918,193,0.0465,450,4,11047.00,2.6606
11-09-25 | Home Tour: Studio LIFE/STYLE (Trade) | Editorial,01K9FNRB7K0M1W11V6J3N0JQ2S,6788,3862,0.5689,246,0.0362,0,0,0.00,0.0000
08-01-25 | Best of July (Trade) | Editorial,01K18WND9Y4WYY07SCDA2SKZDD,4075,2433,0.5971,142,0.0348,261,2,4659.00,1.1433
01-27-26 | New Arrivals: Galerie Solis (Trade) | Shopping,01KFGWS3031JVWF1HZRC6R08N2,6612,3333,0.5041,173,0.0262,0,0,0.00,0.0000
07-16-25 | Ali Henrie's Showroom (Trade Version) | Shopping,01JZXHA5K7DT303P8QCHMAZQMX,4077,2338,0.5735,73,0.0179,0,0,0.00,0.0000
"09-19-25 | Last Chance: Vintage, Now 75% Off (Trade) | Shopping",01K5F5JD7YZ6MG1SKT2871KNDZ,4199,2390,0.5692,224,0.0533,0,0,0.00,0.0000
01-22-26 | Nina Takesh Showroom (Trade) | Shopping,01KEZ5TFHEGV4V10JDKN1Q9EJF,6411,3332,0.5197,170,0.0265,0,0,0.00,0.0000
07-17-25 | The Best Paint Shades for Color Drenching (Trade Version) | Editorial,01K0AB8YFMB4B74DNHR0HHVYZY,4056,2382,0.5873,150,0.0370,295,2,900.00,0.2219
02-04-26 | New Arrivals: Vintage (Trade) | Shopping,01KG61CX84AXYQ86DQ5A9AY5NK,6595,3522,0.5340,249,0.0378,0,0,0.00,0.0000
08-23-25 | Mullan Picture Light (Trade) | Editorial,01K31FAWZKNFPECHAH3G32P393,4158,2444,0.5878,90,0.0216,428,1,650.00,0.1563
12-27-25 | Oho Interiors’ Personal Colorado Home (Trade) | Editorial,01KCSN1CXG4VFXE226X2P9AY5Z,6594,3508,0.5320,171,0.0259,0,0,0.00,0.0000
12-29-25 | New Brands (Trade) | Shopping,01KCQ24AXVWQN11T5M6YY4QJNX,6501,3345,0.5145,150,0.0231,0,0,0.00,0.0000
01-17-26 | And Studio Upper West Side (Trade) | Editorial,01KF1QX949ZYGZEG2T7AYC89YG,6622,3626,0.5476,214,0.0323,0,0,0.00,0.0000
09-16-25 | New Vintage (Trade) | Shopping,01K4ZZA252VWXQJ9MFNE7G23Y8,4218,2389,0.5664,126,0.0299,0,0,0.00,0.0000
09-29-25 | INVITE: Austin x Supply x Andrew Howard (Trade) | Events & Trade Perks,01K63AEHENCPYDDFMAE2Y0GDPK,98,64,0.6531,7,0.0714,20,1,1312.50,13.3929
12-03-25 | Annual Design Firm Purchasing Power Survey Reminder | Events & Trade Perks,01KBJPG3GPK6JAADZR5YF6VWDF,6653,3795,0.5704,139,0.0209,0,0,0.00,0.0000
01-28-26 | Image Search Beta (Trade) | Events & Trade Perks,01KFNT3B2BB0HD7F6M6DJNCJRK,6568,3492,0.5317,152,0.0231,0,0,0.00,0.0000
10-14-25 | PMP Is Here to Stay (Trade) | Events & Trade Perks,01K74XWSWZ93CHTAGHA84G2W5S,4453,2574,0.5780,78,0.0175,0,0,0.00,0.0000
10-03-25 | Best of September (Trade) | Editorial,01K643ZHD7S1YAFR1BHTACD207,4250,2462,0.5793,175,0.0412,0,0,0.00,0.0000
12-09-25 | Katie Monkhouse Showroom (Trade) | Shopping,01KBQT8ZK7K6Y4GTAY3F18ZQE2,6641,3616,0.5445,210,0.0316,0,0,0.00,0.0000
01-24-26 | Proem San Francisco Home (Trade) | Editorial,01KFE7389QD5AE10XW0CZ2ENAX,6614,3982,0.6021,255,0.0386,0,0,0.00,0.0000
10-24-25 | 90% Off Vintage: Last Chance Vintage (Trade) | Shopping,01K88WY7TW2KW60ZVT0JXWDAMS,6812,3786,0.5558,512,0.0752,0,0,0.00,0.0000
07-30-25 | Trade Newsletter | Welcome New,01K1C97V20RX2P9FATA24W32YC,4142,2423,0.5850,83,0.0200,160,1,552.00,0.1333
10-15-25 | $250 Trade Credit Reminder 1 | Shopping,01K7JCBSB61HT6KKY5XSBAXM2V,2604,1544,0.5929,112,0.0430,0,0,0.00,0.0000
08-27-25 | Trade Newsletter | Welcome New 5,01K2JWHTBD59GNNPZJRZBF3G9E,3929,2239,0.5699,70,0.0178,112,1,8165.00,2.0781
07-21-25 | New Brands Spotlight (Trade Version) | Shopping,01K07TQ8E7TRK9HVKTFTNBZKV8,4078,2335,0.5726,51,0.0125,0,0,0.00,0.0000
10-01-25 | New Brands Spotlight (Trade) | Shopping,01K6DKYQ013VX8N355J73FXB4Y,3342,2481,0.7424,118,0.0353,0,0,0.00,0.0000
09-11-25 | New Brands Spotlight (Trade) | Shopping,01K4B8E8Z2THJPKHFCDMDH6Q47,3901,2262,0.5799,103,0.0264,0,0,0.00,0.0000
10-09-25 | October Retention Promo Launch (Trade) | Shopping,01K7266ZB9HJ8P4RDZZJKMMRGV,4331,2544,0.5874,92,0.0212,0,0,0.00,0.0000
02-07-26 | Hommeboys Home Tour (Trade) | Editorial,01KGJ43CMEWVRKS6DMG52HCR8J,6719,3704,0.5513,176,0.0262,0,0,0.00,0.0000
01-21-26 | Gift Card Sale (Trade) | Shopping,01KFESW88F4RFH969VNPM4QYRF,6621,3417,0.5161,100,0.0151,0,0,0.00,0.0000
08-19-25 | New Brands Spotlight (Trade) | Shopping,01K2YWTBRKJK6EPGS01PVCDVRJ,4151,2371,0.5712,88,0.0212,0,0,0.00,0.0000
07-22-25 | Spotted (Trade Version) | Shopping,01K0PSSGSAWM137KT92V2V59ZX,4051,2330,0.5752,52,0.0128,0,0,0.00,0.0000
11-07-25 | Annual Design Firm Purchasing Power Survey | Events & Trade Perks,01K9DKMP3VN6J9RQQCDWN38WZD,6705,3919,0.5845,206,0.0307,0,0,0.00,0.0000
08-21-25 | Vintage Sale - Olivia (Trade) | Shopping,01K2JXK09XJMBRHW5BKD3P0671,4166,2570,0.6169,468,0.1123,0,0,0.00,0.0000
10-22-25 | Welcome Offer Reminder 1 - Trade | Shopping,01K81P6TQHJMT53EQB80AK217K,279,186,0.6667,9,0.0323,0,0,0.00,0.0000
11-28-25 | BFCM: Vintage (Trade) | Shopping,01KAF5P9Y7G0J63EYV6AJ5XPZY,6552,3435,0.5243,136,0.0208,0,0,0.00,0.0000
12-06-25 | AD100 (Trade) | Editorial,01KBQQ2JYD1E8NTEWB0EV8QCFC,6662,3710,0.5569,209,0.0314,172,1,659.00,0.0989
09-15-25 | Reminder: Office Hour with Andre Mellone + Seth Kaplowitz (Trade) | Events & Trade Perks,01K4ZY09NGXB8NP3M59VY9MCPM,3969,2309,0.5818,105,0.0265,0,0,0.00,0.0000
10-02-25 | INVITE: High Point Party With PRB (Trade)-Batch 2 | Events & Trade Perks,01K6GWTHSG2Y6G22FQ5AMHDF2S,528,360,0.6818,8,0.0152,0,0,0.00,0.0000
08-18-25 | Vintage Sale (Trade) | Shopping,01K25HM0PN1B33TH0K6YCP9746,4096,2388,0.5830,88,0.0215,0,0,0.00,0.0000
09-10-25 | Trade Newsletter | Welcome New 7,01K2JWW6QBFZDSAQF3KNPV4WA8,3744,2182,0.5828,102,0.0272,0,0,0.00,0.0000
12-14-25 | Yond Interiors Minnesota (Trade) | Editorial,01KBZHG5GJ2HFXG27RYX4W45XW,6595,3795,0.5754,193,0.0293,248,1,2380.00,0.3609
10-28-25 | New Brands Spotlight (Trade) | Shopping,01K8KAM68M7M9M82JNWQTPF1W1,6833,3727,0.5454,157,0.0230,0,0,0.00,0.0000
02-11-26 | Improved Filtering (Trade) | Shopping,01KH4R8FVPR41TEQB2156DDT59,6640,3554,0.5352,128,0.0193,0,0,0.00,0.0000
11-03-25 | New Brands Spotlight (Trade) | Shopping,01K8XSYYN8Q3XPT34VBEJ6GP7P,6650,3675,0.5526,187,0.0281,0,0,0.00,0.0000
03-12-26 | Green Roundup (Trade Version) | Shopping,01KKF7MJ5PMZXXQYX22MWK50M4,6609,3527,0.5337,265,0.0401,0,0,0.00,0.0000
10-03-25 | INVITE: High Point Party With PRB (Trade)-Batch 3 | Events & Trade Perks,01K6NCJKCFKVMPDWT510K7KJ55,1165,603,0.5176,25,0.0215,0,0,0.00,0.0000
Clone 11-06-25 | Seth Kaplowitz Invite (Trade A) | Events & Trade Perks,01K9AZ71ECJXDPCKG7FH26DX44,1019,596,0.5849,18,0.0177,0,0,0.00,0.0000
10-13-25 | New Brands Spotlight (Trade) | Shopping,01K74TRGTRXHFHC6FWVMJVJCG5,4279,2471,0.5775,113,0.0264,0,0,0.00,0.0000
12-01-25 | BFCM: Last Day (Trade) | Shopping,01KAF7KQJ0H5CY35YW7J1AQKRW,6430,3297,0.5128,115,0.0179,0,0,0.00,0.0000
11-13-25 | Rewind: Expert Showrooms (Trade) | Shopping,01K9WEFFDSGWF8DXX008FXJ1SH,6659,3619,0.5435,238,0.0357,0,0,0.00,0.0000
09-01-25 | New Arrivals (Trade) | Shopping,01K3KN254BJ46YM3AQP91M6G8J,4176,2392,0.5728,76,0.0182,0,0,0.00,0.0000
07-18-25 | OOO: Mediterranean (Trade Version) | Shopping,01JZX72R9E77XFGP0FN747TMTP,4065,2327,0.5724,78,0.0192,0,0,0.00,0.0000
12-17-25 | EOY Letter From Lee Anne | Events & Trade Perks,01KCMH87RJFKHHVXKE4ZW64V4C,6687,3829,0.5726,124,0.0185,70,1,127.50,0.0191
09-25-25 | New Brands Spotlight (Trade) | Shopping,01K5Y508N0KZE23MD68VVTXS3S,468,305,0.6517,15,0.0321,0,0,0.00,0.0000
01-20-26 | Top 40 Reveal (Trade) | Consultations,01KF3XYES5EYNS28D0KV1MCCVJ,6623,3442,0.5197,309,0.0467,568,5,7789.00,1.1761
Clone 11-07-25 | PRB Follow-Up (Trade Members) | Events & Trade Perks,01K9D9FG8W39T2S8RZGH746KJH,60,40,0.6667,1,0.0167,0,0,0.00,0.0000
01-16-26 | Jessica Helgerson Reminder (Trade) | Events & Trade Perks,01KEW381NN20HN764DCYKMCFQJ,6459,3553,0.5501,208,0.0322,0,0,0.00,0.0000
08-14-25 | Alway Improving Incentive (Trade) | Events & Trade Perks,01K2J9QM0S8W2FYGN2AFHA29FX,1214,725,0.5972,29,0.0239,0,0,0.00,0.0000
11-14-25 | Gift Guide (Trade) | Shopping,01K9ZG4VH1Z76QSZFM7ZCNFGW0,6706,3587,0.5349,156,0.0233,0,0,0.00,0.0000
09-26-25 | New Brands Spotlight (Trade) Resend | Shopping,01K60TY2F5ARF8Z7PC6VK60HTF,3778,2176,0.5760,121,0.0320,0,0,0.00,0.0000
11-07-25 | PRB Follow-Up (Non-Members) | Events & Trade Perks,01K9D8ZXEWDVZB92WXWPGFA8J5,43,29,0.6744,2,0.0465,0,0,0.00,0.0000
12-31-25 | Best of Year (Trade) | Shopping,01KD66PCPDGBE27SFH581A6DZS,6564,3446,0.5250,125,0.0190,0,0,0.00,0.0000
09-30-25 | INVITE: High Point Party With PRB (Trade) | Events & Trade Perks,01K640PMKJH3DQZDEXVEE4H8Y3,232,153,0.6595,6,0.0259,0,0,0.00,0.0000
02-23-26 | Oho Interiors | Shopping (Trade),01KHY61ZJAWS9G2Y98GRAM5JSD,6585,3412,0.5181,224,0.0340,0,0,0.00,0.0000
02-07-26 | 400+ New Arrivals (Trade) | Shopping,01KHQ03D19REYXFA096FF7Y868,6591,3400,0.5159,183,0.0278,0,0,0.00,0.0000
01-08-25 | 2026 Trade Perks | Events & Trade Perks,01KCWEDZHPBHC7A5GZ08C3FQWM,6633,3732,0.5626,169,0.0255,0,0,0.00,0.0000
01-03-25 | Phillips’ House Austin Project (Trade) | Editorial,01KD6FX4A50GZT2ZSPNXVCG38S,6589,3572,0.5421,183,0.0278,179,2,10633.00,1.6138
12-08-25 | New Arrivals (Trade) | Shopping,01KBGG1EKKXM0D9BH5M6VK2GXJ,6388,3441,0.5387,170,0.0266,0,0,0.00,0.0000
10-23-25 | ATTENDING: High Point Party With PRB (Trade)-Full List | Events & Trade Perks,01K84EACE8YAV0XKFMV9JTAW3E,42,33,0.7857,2,0.0476,0,0,0.00,0.0000
10-15-25 | Welcome Offer - Trade | Shopping,01K7HRAGB1FH89GGBHHWJ6HKNG,273,189,0.6923,7,0.0256,0,0,0.00,0.0000
12-02-25 | Customer → Member Flow Email 4 (Trade) | Trade,01KACE77NB8J0A2J60ZAC90Z42,630,346,0.5492,9,0.0143,0,0,0.00,0.0000
09-04-25 | Trade Newsletter | Welcome New 6,01K2JWR5GTMKN2XKTMXG48E2DE,3982,2270,0.5701,40,0.0100,0,0,0.00,0.0000
21-11-25 | Seth Kaplowitz Follow Up (Trade Customers) | Trade,01KAEEDNZ4YA3B6M0VQGS2W82V,508,298,0.5866,8,0.0157,0,0,0.00,0.0000
01-10-26 | Tiffany Leigh Office (Trade) | Editorial,01KEA1A1D48XZDJ8E0F2MCXAE9,6588,3571,0.5420,208,0.0316,269,1,1065.20,0.1617
03-19-26 | Most Wanted (Trade Version) | Shopping,01KM0Z499W3DEKA8KXMGXRWPK0,6592,3396,0.5152,186,0.0282,0,0,0.00,0.0000
11-12-25 | Customer → Member Flow Email 2 (Trade) | Trade,01K9T8PTJ0ASRXKHF8RM531ZRK,444,257,0.5788,4,0.0090,0,0,0.00,0.0000
12-20-25 | Corey Damen Jenkins Book (Trade) | Editorial,01KCPJ06T9HZ19T2JDT0DJH96N,6610,3577,0.5411,120,0.0182,0,0,0.00,0.0000
10-08-25 | INVITE: High Point Party With PRB (Trade)-reminder | Events & Trade Perks,01K708SYQTY4NPT733NA73TGKY,1567,997,0.6362,26,0.0166,0,0,0.00,0.0000
07-28-25 | New Arrivals (Trade Version) | Shopping,01K0YYKPBM2AAJV55YSNN1YSVA,4075,2408,0.5909,97,0.0238,0,0,0.00,0.0000
10-29-25 | Welcome Offer Reminder 2 - Trade | Shopping,01K86X4NHSHJMD8RZ2K3XJ531R,272,170,0.6250,6,0.0221,0,0,0.00,0.0000
01-26-26 | Gift Card Sale: Last Week (Trade) | Shopping,01KFK9GRS2HKVC1ER3SE5H1RVP,6482,3371,0.5201,108,0.0167,0,0,0.00,0.0000
08-20-25 | Trade Newsletter | Welcome New 4,01K2JWBGZDX4F67NW8N6XX5EDT,3959,2342,0.5916,63,0.0159,105,1,2430.00,0.6138
11-17-25 | New Arrivals (Trade) | Shopping,01KA1KEY4F2X8JP2SN4WD34RAM,6607,3721,0.5632,226,0.0342,0,0,0.00,0.0000
01-30-26 | Gift Card Sale: Last Chance (Trade) | Shopping (clone),01KG86VBKK11E3TZHMQQTAF6HC,6641,3624,0.5457,447,0.0673,0,0,0.00,0.0000
11-19-25 | Trade PMP + BFCM Offer | Trade,01KACC4J1G1H6AMV8N1SXG5Y36,6708,3724,0.5552,142,0.0212,0,0,0.00,0.0000
11-05-25 | Vintage Shop: Relaunch (Trade) | Shopping,01K98J4K0AY8KVZAQBKHJHF23E,6772,3660,0.5405,174,0.0257,0,0,0.00,0.0000
01-31-26 | Best of January (Trade) | Editorial,01KFYSZGW5QGT18ENKBJBGV7CX,5,5,1.0000,0,0.0000,0,0,0.00,0.0000
21-11-25 | Seth Kaplowitz Follow Up (Bronze+) | Trade,01KAEE1DGZS07RD4WGGQYANGX2,1504,853,0.5672,43,0.0286,0,0,0.00,0.0000
09-18-25 | New Showrooms: Jenna Barton & A1000xBetter (Trade) | Shopping,01K5A6EHDBVE167R23PRBPYP71,4154,2386,0.5744,101,0.0243,0,0,0.00,0.0000
09-10-25 | Invite: Office Hour with Andre Mellone + Seth Kaplowitz (Trade) | Events & Trade Perks,01K4N3RSBZKMHK1RC0N3FQJE3B,4162,2529,0.6076,171,0.0411,0,0,0.00,0.0000
11-01-25 | Best of October (Trade) | Editorial,01K8PBZESE9SSM5A3J4WNY09SY,6778,3914,0.5775,368,0.0543,661,1,944.08,0.1393
12-11-25 | Quote Tool (Trade) | Trade,01KBZETRC7HYMV8WR28TS26GN7,6632,3590,0.5413,97,0.0146,0,0,0.00,0.0000
09-09-25 | Haldon House Showroom (Trade) | Shopping,01K4B41WPGPQVFAK3PHNVPQ4HZ,4187,2429,0.5801,84,0.0201,0,0,0.00,0.0000
11-19-25 | Rewind: New Brands (Trade) | Shopping,01K9ZXG9FX5CPKFJRP15K2E2WM,6554,3512,0.5359,147,0.0224,0,0,0.00,0.0000
11-10-25 | BFCM Trade | Events & Trade Perks,01K9DAHGTNEE1JCN061PRVTAEZ,6767,3659,0.5407,137,0.0202,0,0,0.00,0.0000
P_EM_03_31_2026_TE_Trade_D_PR_Best_Of_March_Editorial,01KN0021WJQBPQG124PHHRDDNN,6540,3324,0.5083,226,0.0346,0,0,0.00,0.0000
Clone 10-22-25 | $250 Trade Credit Reminder 2 | Shopping,01K81PK6VV3PGBYYFCXW9K7X0B,2424,1431,0.5903,83,0.0342,0,0,0.00,0.0000
12-12-25 | The Holiday Shop: Gift Cards (Trade) | Shopping,01KBJK4660XGAC0Z2Z80XPRTBY,6345,3358,0.5292,94,0.0148,0,0,0.00,0.0000
08-11-25 | On the Road Launch | Events & Trade Perks,01K25AE7FD5EGXDF9FDK5MZ1P2,4177,2529,0.6055,120,0.0287,273,1,2999.00,0.7180
01-31-26 | Best of January (Trade) | Editorial (clone),01KG8A8Q6NEA7993SXQVQQ6W24,6676,3629,0.5436,231,0.0346,296,1,800.00,0.1198
12-05-25 | Seasonal Refresh (Trade) | Shopping,01KAY9VD2R7GVXAK2AXHAMSEDD,6486,3443,0.5308,115,0.0177,0,0,0.00,0.0000
08-12-25 | Alfredo Paredes Showroom (Trade) | Shopping,01K25G5V6TXF3F2MKRGS7FFT3Q,4165,2460,0.5906,107,0.0257,0,0,0.00,0.0000
08-04-25 | New Arrivals (Trade) | Shopping,01K1K9C3WWCT5EZVY1F5PXKSPT,4130,2399,0.5809,72,0.0174,0,0,0.00,0.0000
11-06-25 | Austin Follow-Up (Non-Members) | Trade,01K8TN193C9V1Z95MWZAP1Y4NW,28,21,0.7500,4,0.1429,0,0,0.00,0.0000
"11-24-25 | BFCM Trade Vintage ""Early Access"" | Trade",01KAEBGKSHPVWXY6QVAAMHFJMD,6486,3595,0.5543,191,0.0294,53,0,0.00,0.0000
03-10-26 | New Arrivals (Trade) | Shopping,01KKAHH53H8WCE066KGZST9EAJ,6624,3556,0.5368,286,0.0432,0,0,0.00,0.0000
21-11-25 | Seth Kaplowitz Follow Up (Attendees) | Trade,01KAEDC2H6R3ARA3CPF80BRX2C,28,24,0.8571,5,0.1786,0,0,0.00,0.0000
02-17-26 | Acquisition News | Trade,01KHKS8Y2DSGJHBXDNHRQ2ZBBC,6564,3791,0.5775,112,0.0171,0,0,0.00,0.0000
12-23-25 | Happy Holidays (Trade) | Shopping,01KD61SQ997070WF97QQV48N2R,6631,3408,0.5139,118,0.0178,0,0,0.00,0.0000
10-22-25 | New Arrivals (Trade) | Shopping,01K7Q2NDNX3PJ3PG31R4YZGWG1,7053,3831,0.5432,246,0.0349,0,0,0.00,0.0000
08-06-25 | Trade Newsletter | Welcome New 2,01K1XCYJ5AFT282APSFBA0FWJ2,4134,2463,0.5958,99,0.0239,203,3,2777.00,0.6717
01-14-26 | New Brand (Trade) | Shopping,01KEW2NPJ01XCWN1NTD4V1A4F0,6559,3471,0.5292,210,0.0320,0,0,0.00,0.0000
10-25-25 | Get to Know: The Lawns (Trade) | Editorial,01K896HQAPV9F8NKZ7ZX7ZZT0M,6836,3912,0.5723,216,0.0316,216,1,15.00,0.0022
10-07-25 | FARROW & BALL CAMPAIGN (Trade) | Sponsored,01K6NS6PKJYXXPZ8CHETB2EEZV,4444,2614,0.5882,95,0.0214,0,0,0.00,0.0000
10-15-25 | Showroom Launches: Avery Cox + Natalie Myers (Trade) | Shopping,01K7FCR07C0R20AJ22B9XC3SYM,3089,1726,0.5588,92,0.0298,0,0,0.00,0.0000
P_EM_2026_03_26_TE_D_PR_Trade_Imperfect_Interiors_Home_Tour_Editorial_Updated,01KMKR4CQWHJKNXVP0T5A0BVF4,6494,3363,0.5179,199,0.0306,191,1,1400.00,0.2156
P_EM_2026_04_02_D_TE_Trade_PR_Get_to_Know_Lawson_Fenning_Editorial,01KN27MZNEBNBWQD6XHP81N0Q9,6530,3381,0.5178,215,0.0329,0,0,0.00,0.0000
P_EM_2026_04_04_D_Trade_TE_PR_Home_Tour_Anja_Michals,01KN9R7VVFD8EDVMNF7JNVKC6X,6526,3454,0.5293,233,0.0357,0,0,0.00,0.0000
